polymer,temperature_K,chi,chi_critical,two_phase,binodal_low_w,binodal_high_w,spinodal_low_w,spinodal_high_w,common_tangent_residual
HPMC-AS,273.15,0.5614030850429278,0.6050000000000001,False,,,,,
HPMC-AS,275.025,0.5575756846813044,0.6050000000000001,False,,,,,
HPMC-AS,276.9,0.5538001180190528,0.6050000000000001,False,,,,,
HPMC-AS,278.775,0.550075339178462,0.6050000000000001,False,,,,,
HPMC-AS,280.65,0.5464003302315187,0.6050000000000001,False,,,,,
HPMC-AS,282.525,0.5427741002724563,0.6050000000000001,False,,,,,
HPMC-AS,284.4,0.5391956845269892,0.6050000000000001,False,,,,,
HPMC-AS,286.275,0.5356641434965531,0.6050000000000001,False,,,,,
HPMC-AS,288.15,0.532178562135956,0.6050000000000001,False,,,,,
HPMC-AS,290.025,0.5287380490629281,0.6050000000000001,False,,,,,
HPMC-AS,291.9,0.5253417357981354,0.6050000000000001,False,,,,,
HPMC-AS,293.775,0.5219887760342974,0.6050000000000001,False,,,,,
HPMC-AS,295.65,0.5186783449331159,0.6050000000000001,False,,,,,
HPMC-AS,297.525,0.5154096384487882,0.6050000000000001,False,,,,,
HPMC-AS,299.4,0.5121818726769396,0.6050000000000001,False,,,,,
HPMC-AS,301.275,0.5089942832278672,0.6050000000000001,False,,,,,
HPMC-AS,303.15,0.5058461246230438,0.6050000000000001,False,,,,,
HPMC-AS,305.025,0.5027366697138783,0.6050000000000001,False,,,,,
HPMC-AS,306.9,0.4996652091217847,0.6050000000000001,False,,,,,
HPMC-AS,308.775,0.4966310506986502,0.6050000000000001,False,,,,,
HPMC-AS,310.65,0.49363351900684277,0.6050000000000001,False,,,,,
HPMC-AS,312.525,0.49067195481793685,0.6050000000000001,False,,,,,
HPMC-AS,314.4,0.4877457146293757,0.6050000000000001,False,,,,,
HPMC-AS,316.275,0.4848541701983265,0.6050000000000001,False,,,,,
HPMC-AS,318.15,0.4819967080920186,0.6050000000000001,False,,,,,
HPMC-AS,320.025,0.47917272925388865,0.6050000000000001,False,,,,,
HPMC-AS,321.9,0.47638164858488885,0.6050000000000001,False,,,,,
HPMC-AS,323.775,0.47362289453934286,0.6050000000000001,False,,,,,
HPMC-AS,325.65,0.47089590873476345,0.6050000000000001,False,,,,,
HPMC-AS,327.525,0.46820014557507283,0.6050000000000001,False,,,,,
HPMC-AS,329.4,0.46553507188669013,0.6050000000000001,False,,,,,
HPMC-AS,331.275,0.46290016656697824,0.6050000000000001,False,,,,,
HPMC-AS,333.15,0.4602949202445617,0.6050000000000001,False,,,,,
HPMC-AS,335.025,0.45771883495105053,0.6050000000000001,False,,,,,
HPMC-AS,336.9,0.45517142380372727,0.6050000000000001,False,,,,,
HPMC-AS,338.775,0.45265221069876976,0.6050000000000001,False,,,,,
HPMC-AS,340.65,0.45016073001460655,0.6050000000000001,False,,,,,
HPMC-AS,342.525,0.4476965263250149,0.6050000000000001,False,,,,,
HPMC-AS,344.4,0.44525915412159034,0.6050000000000001,False,,,,,
HPMC-AS,346.275,0.4428481775452335,0.6050000000000001,False,,,,,
HPMC-AS,348.15,0.4404631701263126,0.6050000000000001,False,,,,,
HPMC-AS,350.025,0.43810371453317826,0.6050000000000001,False,,,,,
HPMC-AS,351.9,0.4357694023287176,0.6050000000000001,False,,,,,
HPMC-AS,353.775,0.43345983373464975,0.6050000000000001,False,,,,,
HPMC-AS,355.65,0.4311746174032777,0.6050000000000001,False,,,,,
HPMC-AS,357.525,0.4289133701964219,0.6050000000000001,False,,,,,
HPMC-AS,359.4,0.42667571697127354,0.6050000000000001,False,,,,,
HPMC-AS,361.275,0.42446129037291735,0.6050000000000001,False,,,,,
HPMC-AS,363.15,0.4222697306332802,0.6050000000000001,False,,,,,
HPMC-AS,365.025,0.4201006853762776,0.6050000000000001,False,,,,,
HPMC-AS,366.9,0.41795380942893356,0.6050000000000001,False,,,,,
HPMC-AS,368.775,0.41582876463826374,0.6050000000000001,False,,,,,
HPMC-AS,370.65,0.4137252196937157,0.6050000000000001,False,,,,,
HPMC-AS,372.525,0.4116428499549714,0.6050000000000001,False,,,,,
HPMC-AS,374.4,0.40958133728492446,0.6050000000000001,False,,,,,
HPMC-AS,376.275,0.4075403698876506,0.6050000000000001,False,,,,,
HPMC-AS,378.15,0.4055196421511985,0.6050000000000001,False,,,,,
HPMC-AS,380.025,0.4035188544950351,0.6050000000000001,False,,,,,
HPMC-AS,381.9,0.4015377132219841,0.6050000000000001,False,,,,,
HPMC-AS,383.775,0.3995759303745052,0.6050000000000001,False,,,,,
HPMC-AS,385.65,0.3976332235951659,0.6050000000000001,False,,,,,
HPMC-AS,387.525,0.3957093159911637,0.6050000000000001,False,,,,,
HPMC-AS,389.4,0.39380393600276253,0.6050000000000001,False,,,,,
HPMC-AS,391.275,0.3919168172755114,0.6050000000000001,False,,,,,
HPMC-AS,393.15,0.39004769853612037,0.6050000000000001,False,,,,,
HPMC-AS,395.025,0.3881963234718707,0.6050000000000001,False,,,,,
HPMC-AS,396.9,0.3863624406134435,0.6050000000000001,False,,,,,
HPMC-AS,398.775,0.38454580322105375,0.6050000000000001,False,,,,,
HPMC-AS,400.65,0.3827461691737819,0.6050000000000001,False,,,,,
HPMC-AS,402.525,0.3809633008619979,0.6050000000000001,False,,,,,
HPMC-AS,404.4,0.3791969650827787,0.6050000000000001,False,,,,,
HPMC-AS,406.275,0.37744693293822096,0.6050000000000001,False,,,,,
HPMC-AS,408.15,0.37571297973655693,0.6050000000000001,False,,,,,
HPMC-AS,410.025,0.3739948848959837,0.6050000000000001,False,,,,,
HPMC-AS,411.9,0.3722924318511185,0.6050000000000001,False,,,,,
HPMC-AS,413.775,0.370605407961998,0.6050000000000001,False,,,,,
HPMC-AS,415.65,0.3689336044255401,0.6050000000000001,False,,,,,
HPMC-AS,417.525,0.36727681618939156,0.6050000000000001,False,,,,,
HPMC-AS,419.4,0.3656348418680871,0.6050000000000001,False,,,,,
HPMC-AS,421.275,0.36400748366144614,0.6050000000000001,False,,,,,
HPMC-AS,423.15,0.36239454727514053,0.6050000000000001,False,,,,,
PVP-VA,273.15,1.1228061700858556,0.6180533988749896,True,0.2803589473876934,0.99999999999332,0.4739317528560085,0.990807150021773,1.5719586219059044e-16
PVP-VA,275.025,1.1151513693626087,0.6180533988749896,True,0.2840879121134921,0.9999999999895097,0.4771007409836579,0.9906906904916435,4.2311447394550583e-16
