compound,probe,probe_time_h,time_after_probe_h,plasma_mg_l
Control,Midazolam,0.0,0.0,0.0
Control,Midazolam,0.0,0.125,0.0048613736327316436
Control,Midazolam,0.0,0.25,0.005529196520485478
Control,Midazolam,0.0,0.375,0.005785142736932682
Control,Midazolam,0.0,0.5,0.0059285299348244384
Control,Midazolam,0.0,0.625,0.005999102493642907
Control,Midazolam,0.0,0.75,0.006012792642416719
Control,Midazolam,0.0,0.875,0.005981299168978064
Control,Midazolam,0.0,1.0,0.005914122750493351
Control,Midazolam,0.0,1.125,0.005819058067202231
Control,Midazolam,0.0,1.25,0.005702495435297633
Control,Midazolam,0.0,1.375,0.00556966628301454
Control,Midazolam,0.0,1.5,0.005424843238490043
Control,Midazolam,0.0,1.625,0.0052715071334023395
Control,Midazolam,0.0,1.75,0.005112484587813601
Control,Midazolam,0.0,1.875,0.0049500625083123174
Control,Midazolam,0.0,2.0,0.004786082628708158
Control,Midazolam,0.0,2.125,0.004622019829696408
Control,Midazolam,0.0,2.25,0.004459047054426474
Control,Midazolam,0.0,2.375,0.004298088933647896
Control,Midazolam,0.0,2.5,0.004139866243723829
Control,Midazolam,0.0,2.625,0.003984932625751515
Control,Midazolam,0.0,2.75,0.0038337049791786677
Control,Midazolam,0.0,2.875,0.003686488571450656
Control,Midazolam,0.0,3.0,0.0035434977866679106
Control,Midazolam,0.0,3.125,0.0034048732612615533
Control,Midazolam,0.0,3.25,0.0032706960181684607
Control,Midazolam,0.0,3.375,0.0031409991261553897
Control,Midazolam,0.0,3.5,0.0030157773036149638
Control,Midazolam,0.0,3.625,0.002894994822741266
Control,Midazolam,0.0,3.75,0.002778592006862254
Control,Midazolam,0.0,3.875,0.0026664905638940375
Control,Midazolam,0.0,4.0,0.002558597956223912
Control,Midazolam,0.0,4.125,0.0024548109750506812
Control,Midazolam,0.0,4.25,0.0023550186568803014
Control,Midazolam,0.0,4.375,0.002259104655712509
Control,Midazolam,0.0,4.5,0.0021669491668051305
Control,Midazolam,0.0,4.625,0.0020784304810309425
Control,Midazolam,0.0,4.75,0.001993426232270003
Control,Midazolam,0.0,4.875,0.0019118143944233707
Control,Midazolam,0.0,5.0,0.0018334740717780057
Control,Midazolam,0.0,5.125,0.0017582861186847707
Control,Midazolam,0.0,5.25,0.001686133619889581
Control,Midazolam,0.0,5.375,0.001616902256883155
Control,Midazolam,0.0,5.5,0.0015504805809720711
Control,Midazolam,0.0,5.625,0.001486760209180031
Control,Midazolam,0.0,5.75,0.0014256359593023708
Control,Midazolam,0.0,5.875,0.0013670059345165433
Control,Midazolam,0.0,6.0,0.0013107715672614195
Control,Midazolam,0.0,6.125,0.0012568376305515433
Control,Midazolam,0.0,6.25,0.0012051122238767153
Control,Midazolam,0.0,6.375,0.0011555067384401605
Control,Midazolam,0.0,6.5,0.0011079358058329674
Control,Midazolam,0.0,6.625,0.0010623172349996143
Control,Midazolam,0.0,6.75,0.0010185719396580966
Control,Midazolam,0.0,6.875,0.0009766238584721012
Control,Midazolam,0.0,7.0,0.0009363998703778187
Control,Midazolam,0.0,7.125,0.0008978297066996421
Control,Midazolam,0.0,7.25,0.000860845861134624
Control,Midazolam,0.0,7.375,0.0008253834986985345
Control,Midazolam,0.0,7.5,0.000791380364476316
Control,Midazolam,0.0,7.625,0.0007587766930594858
Control,Midazolam,0.0,7.75,0.000727515118955027
Control,Midazolam,0.0,7.875,0.0006975405883979931
Control,Midazolam,0.0,8.0,0.000668800273021205
Control,Midazolam,0.0,8.125,0.00064124348559606
Control,Midazolam,0.0,8.25,0.0006148215979762781
Control,Midazolam,0.0,8.375,0.0005894879613198941
Control,Midazolam,0.0,8.5,0.0005651978285983495
Control,Midazolam,0.0,8.625,0.0005419082797613556
Control,Midazolam,0.0,8.75,0.0005195781494444586
Control,Midazolam,0.0,8.875,0.0004981679570823541
Control,Midazolam,0.0,9.0,0.0004776398394773212
Control,Midazolam,0.0,9.125,0.0004579574858617975
Control,Midazolam,0.0,9.25,0.00043908607513292895
Control,Midazolam,0.0,9.375,0.0004209922150852532
Control,Midazolam,0.0,9.5,0.0004036438853168058
Control,Midazolam,0.0,9.625,0.0003870103813254286
Control,Midazolam,0.0,9.75,0.0003710622608162706
Control,Midazolam,0.0,9.875,0.0003557712922245008
Control,Midazolam,0.0,10.0,0.00034111040607952726
Control,Midazolam,0.0,10.125,0.0003270536449267942
Control,Midazolam,0.0,10.25,0.0003135761201294512
Control,Midazolam,0.0,10.375,0.000300653968183684
Control,Midazolam,0.0,10.5,0.0002882643063029477
Control,Midazolam,0.0,10.625,0.0002763851951422088
Control,Midazolam,0.0,10.75,0.0002649955991976453
Control,Midazolam,0.0,10.875,0.0002540753483114201
Control,Midazolam,0.0,11.0,0.00024360510376029607
Control,Midazolam,0.0,11.125,0.0002335663249430429
Control,Midazolam,0.0,11.25,0.00022394123057617454
Control,Midazolam,0.0,11.375,0.00021471277644100365
Control,Midazolam,0.0,11.5,0.00020586461540009535
Control,Midazolam,0.0,11.625,0.00019738107807003871
Control,Midazolam,0.0,11.75,0.00018924713806019392
Control,Midazolam,0.0,11.875,0.00018144838928268114
Control,Midazolam,0.0,12.0,0.00017397101626179262
Control,Midazolam,0.0,12.125,0.00016680179283817516
Control,Midazolam,0.0,12.25,0.00015992800288823516
Control,Midazolam,0.0,12.375,0.00015333750817444258
Control,Midazolam,0.0,12.5,0.00014701860387371002
Control,Midazolam,0.0,12.625,0.00014096007502033874
Control,Midazolam,0.0,12.75,0.00013515119840973343
Control,Midazolam,0.0,12.875,0.00012958168230466156
Control,Midazolam,0.0,13.0,0.00012424165956326385
Control,Midazolam,0.0,13.125,0.00011912170357266223
Control,Midazolam,0.0,13.25,0.00011421272407835619
Control,Midazolam,0.0,13.375,0.00010950606686030212
Control,Midazolam,0.0,13.5,0.00010499335197243754
Control,Midazolam,0.0,13.625,0.00010066662837051394
Control,Midazolam,0.0,13.75,9.651819952613338e-05
Control,Midazolam,0.0,13.875,9.254072317687435e-05
Control,Midazolam,0.0,14.0,8.872716175022188e-05
Control,Midazolam,0.0,14.125,8.507076234597156e-05
Control,Midazolam,0.0,14.25,8.15650445169657e-05
Control,Midazolam,0.0,14.375,7.82037978703237e-05
Control,Midazolam,0.0,14.5,7.498106810944436e-05
Control,Midazolam,0.0,14.625,7.189114402653205e-05
Control,Midazolam,0.0,14.75,6.892855341692547e-05
Control,Midazolam,0.0,14.875,6.608804806447442e-05
Control,Midazolam,0.0,15.0,6.336459769946261e-05
Control,Midazolam,0.0,15.125,6.075337920213285e-05
Control,Midazolam,0.0,15.25,5.8249767543135865e-05
Control,Midazolam,0.0,15.375,5.584933248999659e-05
Control,Midazolam,0.0,15.5,5.354781937600537e-05
Control,Midazolam,0.0,15.625,5.1341149127400365e-05
Control,Midazolam,0.0,15.75,4.9225421746936843e-05
Control,Midazolam,0.0,15.875,4.719688113015175e-05
Control,Midazolam,0.0,16.0,4.525193052429584e-05
Control,Midazolam,0.0,16.125,4.3387130474826984e-05
Control,Midazolam,0.0,16.25,4.1599173825989985e-05
Control,Midazolam,0.0,16.375,3.9884896904564134e-05
Control,Midazolam,0.0,16.5,3.8241263275873706e-05
Control,Midazolam,0.0,16.625,3.6665363149934164e-05
Control,Midazolam,0.0,16.75,3.515440518969502e-05
Control,Midazolam,0.0,16.875,3.3705713950627e-05
Control,Midazolam,0.0,17.0,3.231672335086573e-05
Control,Midazolam,0.0,17.125,3.0984971781347754e-05
Control,Midazolam,0.0,17.25,2.9708102066188242e-05
Control,Midazolam,0.0,17.375,2.848384989083229e-05
Control,Midazolam,0.0,17.5,2.7310049105189934e-05
Control,Midazolam,0.0,17.625,2.618461871629995e-05
Control,Midazolam,0.0,17.75,2.5105567014694194e-05
Control,Midazolam,0.0,17.875,2.4070981969510268e-05
Control,Midazolam,0.0,18.0,2.3079031577365696e-05
Control,Midazolam,0.0,18.125,2.21279591964726e-05
Control,Midazolam,0.0,18.25,2.121607963568934e-05
Control,Midazolam,0.0,18.375,2.034177884173584e-05
Control,Midazolam,0.0,18.5,1.9503506739161923e-05
Control,Midazolam,0.0,18.625,1.869978012124945e-05
Control,Midazolam,0.0,18.75,1.79291739711319e-05
Control,Midazolam,0.0,18.875,1.7190324221952576e-05
Control,Midazolam,0.0,19.0,1.6481921908697105e-05
Control,Midazolam,0.0,19.125,1.5802712131988536e-05
Control,Midazolam,0.0,19.25,1.5151492448574516e-05
Control,Midazolam,0.0,19.375,1.4527108785320431e-05
Control,Midazolam,0.0,19.5,1.3928456325090498e-05
Control,Midazolam,0.0,19.625,1.3354473572900971e-05
Control,Midazolam,0.0,19.75,1.2804144728324148e-05
Control,Midazolam,0.0,19.875,1.2276494785259479e-05
Control,Midazolam,0.0,20.0,1.1770588420581944e-05
Control,Midazolam,0.0,20.125,1.1285530804977095e-05
Control,Midazolam,0.0,20.25,1.0820461504181531e-05
Control,Midazolam,0.0,20.375,1.0374557649508628e-05
Control,Midazolam,0.0,20.5,9.947029193111497e-06
Control,Midazolam,0.0,20.625,9.537118489998107e-06
Control,Midazolam,0.0,20.75,9.14410037507398e-06
Control,Midazolam,0.0,20.875,8.767277856733943e-06
Control,Midazolam,0.0,21.0,8.405984275898977e-06
Control,Midazolam,0.0,21.125,8.05957936453804e-06
Control,Midazolam,0.0,21.25,7.727449349260213e-06
Control,Midazolam,0.0,21.375,7.4090066892350785e-06
Control,Midazolam,0.0,21.5,7.103686470779109e-06
Control,Midazolam,0.0,21.625,6.810948571732493e-06
Control,Midazolam,0.0,21.75,6.5302742944301505e-06
Control,Midazolam,0.0,21.875,6.261166005350059e-06
Control,Midazolam,0.0,22.0,6.003147928059073e-06
Control,Midazolam,0.0,22.125,5.755762330007024e-06
Control,Midazolam,0.0,22.25,5.5185712882445105e-06
Control,Midazolam,0.0,22.375,5.291154903240351e-06
Control,Midazolam,0.0,22.5,5.073109836095126e-06
Control,Midazolam,0.0,22.625,4.864050623375792e-06
Control,Midazolam,0.0,22.75,4.6636064696723665e-06
Control,Midazolam,0.0,22.875,4.471422365557544e-06
Control,Midazolam,0.0,23.0,4.287158279090456e-06
Control,Midazolam,0.0,23.125,4.11048730256818e-06
Control,Midazolam,0.0,23.25,3.9410971675069075e-06
Control,Midazolam,0.0,23.375,3.778687491747075e-06
Control,Midazolam,0.0,23.5,3.622970342781176e-06
Control,Midazolam,0.0,23.625,3.473670567803652e-06
Control,Midazolam,0.0,23.75,3.330523191805025e-06
Control,Midazolam,0.0,23.875,3.1932744073700535e-06
Control,Midazolam,0.0,24.0,3.061681390435659e-06
Control,Midazolam,0.0,24.125,2.9355119839920277e-06
Control,Midazolam,0.0,24.25,2.8145393908881084e-06
Control,Midazolam,0.0,24.375,2.6985542549389684e-06
Control,Midazolam,0.0,24.5,2.5873492912921103e-06
Control,Midazolam,0.0,24.625,2.4807276850783795e-06
Control,Midazolam,0.0,24.75,2.3785010503830304e-06
Control,Midazolam,0.0,24.875,2.280486320657425e-06
Control,Midazolam,0.0,25.0,2.1865094208515582e-06
Control,Midazolam,0.0,25.125,2.0964057110260433e-06
Control,Midazolam,0.0,25.25,2.0100137602824395e-06
Control,Midazolam,0.0,25.375,1.9271818702376127e-06
Control,Midazolam,0.0,25.5,1.8477624037515734e-06
Control,Midazolam,0.0,25.625,1.7716157037661563e-06
Control,Midazolam,0.0,25.75,1.6986074336844626e-06
Control,Midazolam,0.0,25.875,1.6286071754736763e-06
Control,Midazolam,0.0,26.0,1.5614927661787242e-06
Control,Midazolam,0.0,26.125,1.4971433331535567e-06
Control,Midazolam,0.0,26.25,1.4354464069594396e-06
Control,Midazolam,0.0,26.375,1.3762921825614946e-06
Control,Midazolam,0.0,26.5,1.3195754524220049e-06
Control,Midazolam,0.0,26.625,1.2651959512305895e-06
Control,Midazolam,0.0,26.75,1.2130576150039298e-06
Control,Midazolam,0.0,26.875,1.1630680425430894e-06
Control,Midazolam,0.0,27.0,1.115138659094297e-06
Control,Midazolam,0.0,27.125,1.0691845086885003e-06
Control,Midazolam,0.0,27.25,1.025124107090333e-06
Control,Midazolam,0.0,27.375,9.828795538394907e-07
Control,Midazolam,0.0,27.5,9.423758404424341e-07
Control,Midazolam,0.0,27.625,9.035412149091624e-07
Control,Midazolam,0.0,27.75,8.663069838751041e-07
Control,Midazolam,0.0,27.875,8.306070600946503e-07
Control,Midazolam,0.0,28.0,7.963783280878777e-07
Control,Midazolam,0.0,28.125,7.635601198659184e-07
Control,Midazolam,0.0,28.25,7.320942923368633e-07
Control,Midazolam,0.0,28.375,7.019251912691761e-07
Control,Midazolam,0.0,28.5,6.729993190954706e-07
Control,Midazolam,0.0,28.625,6.45265576600993e-07
Control,Midazolam,0.0,28.75,6.186748626492116e-07
Control,Midazolam,0.0,28.875,5.931799441763586e-07
Control,Midazolam,0.0,29.0,5.687355075489848e-07
Control,Midazolam,0.0,29.125,5.452987775610993e-07
Control,Midazolam,0.0,29.25,5.228279028995896e-07
Control,Midazolam,0.0,29.375,5.012829196670117e-07
Control,Midazolam,0.0,29.5,4.806256612101602e-07
Control,Midazolam,0.0,29.625,4.608199507206264e-07
Control,Midazolam,0.0,29.75,4.4183036459507583e-07
Control,Midazolam,0.0,29.875,4.236231152316089e-07
Control,Midazolam,0.0,30.0,4.0616619086346855e-07
Control,Midazolam,0.0,30.125,3.894287434675303e-07
Control,Midazolam,0.0,30.25,3.733809488228855e-07
Control,Midazolam,0.0,30.375,3.57994283156062e-07
Control,Midazolam,0.0,30.5,3.4324185411996924e-07
Control,Midazolam,0.0,30.625,3.2909734347055227e-07
Control,Midazolam,0.0,30.75,3.155356435978922e-07
Control,Midazolam,0.0,30.875,3.02532745237868e-07
Control,Midazolam,0.0,31.0,2.900658197282788e-07
Control,Midazolam,0.0,31.125,2.781126331013781e-07
Control,Midazolam,0.0,31.25,2.6665193563144395e-07
Control,Midazolam,0.0,31.375,2.5566360445620406e-07
Control,Midazolam,0.0,31.5,2.4512821617227397e-07
Control,Midazolam,0.0,31.625,2.3502696657779848e-07
Control,Midazolam,0.0,31.75,2.253418567053752e-07
Control,Midazolam,0.0,31.875,2.1605593006687478e-07
Control,Midazolam,0.0,32.0,2.071527863370538e-07
Control,Midazolam,0.0,32.125,1.9861649606393946e-07
Control,Midazolam,0.0,32.25,1.9043184085745767e-07
Control,Midazolam,0.0,32.375,1.8258450046462537e-07
Control,Midazolam,0.0,32.5,1.7506062573860696e-07
Control,Midazolam,0.0,32.625,1.6784675966906434e-07
Control,Midazolam,0.0,32.75,1.6093005725444782e-07
Control,Midazolam,0.0,32.875,1.542984010950146e-07
Control,Midazolam,0.0,33.0,1.4794008816268887e-07
Control,Midazolam,0.0,33.125,1.4184376441341293e-07
Control,Midazolam,0.0,33.25,1.3599858449563945e-07
Control,Midazolam,0.0,33.375,1.303942988196669e-07
Control,Midazolam,0.0,33.5,1.250210145005987e-07
Control,Midazolam,0.0,33.625,1.19869139855636e-07
Control,Midazolam,0.0,33.75,1.1492950524968577e-07
Control,Midazolam,0.0,33.875,1.1019345320513717e-07
Control,Midazolam,0.0,34.0,1.0565262368283759e-07
Control,Midazolam,0.0,34.125,1.012989020512022e-07
Control,Midazolam,0.0,34.25,9.712453241271327e-08
Control,Midazolam,0.0,34.375,9.312224478295164e-08
Control,Midazolam,0.0,34.5,8.928497533033878e-08
Control,Midazolam,0.0,34.625,8.560583993739105e-08
Control,Midazolam,0.0,34.75,8.207827382929215e-08
Control,Midazolam,0.0,34.875,7.869597335968046e-08
Control,Midazolam,0.0,35.0,7.545323516927934e-08
Control,Midazolam,0.0,35.125,7.234413577196729e-08
Control,Midazolam,0.0,35.25,6.936313243445416e-08
Control,Midazolam,0.0,35.375,6.650488900399496e-08
Control,Midazolam,0.0,35.5,6.376439863496023e-08
Control,Midazolam,0.0,35.625,6.113693150864805e-08
Control,Midazolam,0.0,35.75,5.8617720009246416e-08
Control,Midazolam,0.0,35.875,5.6202274762488515e-08
Control,Midazolam,0.0,36.0,5.388627590407562e-08
Control,Midazolam,0.0,36.125,5.166754160804695e-08
Control,Midazolam,0.0,36.25,4.953817888748794e-08
Control,Midazolam,0.0,36.375,4.749138258965893e-08
Control,Midazolam,0.0,36.5,4.5530218034556464e-08
Control,Midazolam,0.0,36.625,4.3652255524582365e-08
Control,Midazolam,0.0,36.75,4.185098182672138e-08
Control,Midazolam,0.0,36.875,4.0124815514402064e-08
Control,Midazolam,0.0,37.0,3.846997981237553e-08
Control,Midazolam,0.0,37.125,3.6883830667371595e-08
Control,Midazolam,0.0,37.25,3.536243016987709e-08
Control,Midazolam,0.0,37.375,3.390457577390499e-08
Control,Midazolam,0.0,37.5,3.2507086369686116e-08
Control,Midazolam,0.0,37.625,3.116725519228688e-08
Control,Midazolam,0.0,37.75,2.988319507325131e-08
Control,Midazolam,0.0,37.875,2.86520528915393e-08
Control,Midazolam,0.0,38.0,2.747140698798359e-08
Control,Midazolam,0.0,38.125,2.6339889047915903e-08
Control,Midazolam,0.0,38.25,2.5254813156475143e-08
Control,Midazolam,0.0,38.375,2.4214075843272143e-08
Control,Midazolam,0.0,38.5,2.3216456252012883e-08
Control,Midazolam,0.0,38.625,2.225992427805493e-08
Control,Midazolam,0.0,38.75,2.1342684280538156e-08
Control,Midazolam,0.0,38.875,2.0462760739371945e-08
Control,Midazolam,0.0,39.0,1.9618930084194356e-08
Control,Midazolam,0.0,39.125,1.880977403956474e-08
Control,Midazolam,0.0,39.25,1.8033968827308717e-08
Control,Midazolam,0.0,39.375,1.7290285166518223e-08
Control,Midazolam,0.0,39.5,1.6577588273551476e-08
Control,Midazolam,0.0,39.625,1.589348891128229e-08
Control,Midazolam,0.0,39.75,1.523727899017585e-08
Control,Midazolam,0.0,39.875,1.4608105719239973e-08
Control,Midazolam,0.0,40.0,1.4004980636475587e-08
Control,Midazolam,0.0,40.125,1.3426990500799295e-08
Control,Midazolam,0.0,40.25,1.2873297292043372e-08
Control,Midazolam,0.0,40.375,1.2342518898886632e-08
Control,Midazolam,0.0,40.5,1.1832857604624699e-08
Control,Midazolam,0.0,40.625,1.1344253746241918e-08
Control,Midazolam,0.0,40.75,1.0875911309203672e-08
Control,Midazolam,0.0,40.875,1.0427087103766343e-08
Control,Midazolam,0.0,41.0,9.997090764977301e-09
Control,Midazolam,0.0,41.125,9.585284752674907e-09
Control,Midazolam,0.0,41.25,9.18987386986035e-09
Control,Midazolam,0.0,41.375,8.810713257808931e-09
Control,Midazolam,0.0,41.5,8.447242698994272e-09
Control,Midazolam,0.0,41.625,8.09884939134053e-09
Control,Midazolam,0.0,41.75,7.764957939150925e-09
Control,Midazolam,0.0,41.875,7.445030353107751e-09
Control,Midazolam,0.0,42.0,7.138283211805125e-09
Control,Midazolam,0.0,42.125,6.8439275957234556e-09
Control,Midazolam,0.0,42.25,6.561708214811342e-09
Control,Midazolam,0.0,42.375,6.291141291289016e-09
Control,Midazolam,0.0,42.5,6.0317722571884394e-09
Control,Midazolam,0.0,42.625,5.783175754353304e-09
Control,Midazolam,0.0,42.75,5.544955634439028e-09
Control,Midazolam,0.0,42.875,5.31626112002083e-09
Control,Midazolam,0.0,43.0,5.096968204482258e-09
Control,Midazolam,0.0,43.125,4.886709499660283e-09
Control,Midazolam,0.0,43.25,4.685138658988231e-09
Control,Midazolam,0.0,43.375,4.491933056960233e-09
Control,Midazolam,0.0,43.5,4.306793789131217e-09
Control,Midazolam,0.0,43.625,4.129230847357242e-09
Control,Midazolam,0.0,43.75,3.95881955285625e-09
Control,Midazolam,0.0,43.875,3.795428842985397e-09
Control,Midazolam,0.0,44.0,3.638791884759221e-09
Control,Midazolam,0.0,44.125,3.4886602127740914e-09
Control,Midazolam,0.0,44.25,3.3448037292082105e-09
Control,Midazolam,0.0,44.375,3.2070001366131706e-09
Control,Midazolam,0.0,44.5,3.0746391682356972e-09
Control,Midazolam,0.0,44.625,2.947735015632576e-09
Control,Midazolam,0.0,44.75,2.8260764893905156e-09
Control,Midazolam,0.0,44.875,2.7094659188261763e-09
Control,Midazolam,0.0,45.0,2.5977191519861683e-09
Control,Midazolam,0.0,45.125,2.490665555647052e-09
Control,Midazolam,0.0,45.25,2.3879935195335253e-09
Control,Midazolam,0.0,45.375,2.2894628931182297e-09
Control,Midazolam,0.0,45.5,2.1950003713447055e-09
Control,Midazolam,0.0,45.625,2.1044477093581302e-09
Control,Midazolam,0.0,45.75,2.0176566398754173e-09
Control,Midazolam,0.0,45.875,1.934488873185223e-09
Control,Midazolam,0.0,46.0,1.8548046893961419e-09
Control,Midazolam,0.0,46.125,1.7782945047240771e-09
Control,Midazolam,0.0,46.25,1.7049373661507857e-09
Control,Midazolam,0.0,46.375,1.634608636642125e-09
Control,Midazolam,0.0,46.5,1.5671913312994205e-09
Control,Midazolam,0.0,46.625,1.5025761173594634e-09
Control,Midazolam,0.0,46.75,1.4406613141945118e-09
Control,Midazolam,0.0,46.875,1.3812351986339174e-09
Control,Midazolam,0.0,47.0,1.3241768688485733e-09
Control,Midazolam,0.0,47.125,1.2694568440661484e-09
Control,Midazolam,0.0,47.25,1.2169863680104173e-09
Control,Midazolam,0.0,47.375,1.1666831255626318e-09
Control,Midazolam,0.0,47.5,1.1184712427615203e-09
Control,Midazolam,0.0,47.625,1.0722812868032882e-09
Control,Midazolam,0.0,47.75,1.028050266041619e-09
Control,Midazolam,0.0,47.875,9.857132735138889e-10
Control,Midazolam,0.0,48.0,9.45125601307227e-10
Control,Midazolam,0.0,48.125,9.067142806572315e-10
Control,Midazolam,0.0,48.25,8.697178424734842e-10
Control,Midazolam,0.0,48.375,8.340140844592046e-10
Control,Midazolam,0.0,48.5,7.996455217105786e-10
Control,Midazolam,0.0,48.625,7.666573177747616e-10
Control,Midazolam,0.0,48.75,7.350494726517537e-10
Control,Midazolam,0.0,48.875,7.047785430701948e-10
Control,Midazolam,0.0,49.0,6.75465553761266e-10
Control,Midazolam,0.0,49.125,6.473768822024741e-10
Control,Midazolam,0.0,49.25,6.205125283938192e-10
Control,Midazolam,0.0,49.375,5.948724923353012e-10
Control,Midazolam,0.0,49.5,5.703322861334888e-10
Control,Midazolam,0.0,49.625,5.466619136550503e-10
Control,Midazolam,0.0,49.75,5.239729416309711e-10
Control,Midazolam,0.0,49.875,5.022256430134141e-10
Control,Midazolam,0.0,50.0,4.813802907545417e-10
Control,Midazolam,0.0,50.125,4.61465792068323e-10
Control,Midazolam,0.0,50.25,4.424377936734072e-10
Control,Midazolam,0.0,50.375,4.242240843016711e-10
Control,Midazolam,0.0,50.5,4.067874471753152e-10
Control,Midazolam,0.0,50.625,3.900906655165406e-10
Control,Midazolam,0.0,50.75,3.740965225475478e-10
Control,Midazolam,0.0,50.875,3.587678014905376e-10
Control,Midazolam,0.0,51.0,3.4406728556771074e-10
Control,Midazolam,0.0,51.125,3.2995775800126794e-10
Control,Midazolam,0.0,51.25,3.1640200201340996e-10
Control,Midazolam,0.0,51.375,3.0336280082633755e-10
Control,Midazolam,0.0,51.5,2.9102802806757223e-10
Control,Midazolam,0.0,51.625,2.793027886960818e-10
Control,Midazolam,0.0,51.75,2.68074732032945e-10
Control,Midazolam,0.0,51.875,2.573139468473906e-10
Control,Midazolam,0.0,52.0,2.469905219086474e-10
Control,Midazolam,0.0,52.125,2.3707454598594405e-10
Control,Midazolam,0.0,52.25,2.275361078485094e-10
Control,Midazolam,0.0,52.375,2.1834529626557207e-10
Control,Midazolam,0.0,52.5,2.0947220000636092e-10
Control,Midazolam,0.0,52.625,2.0088690784010466e-10
Control,Midazolam,0.0,52.75,1.9255950853603204e-10
Control,Midazolam,0.0,52.875,1.848093843016732e-10
Control,Midazolam,0.0,53.0,1.7746355162426345e-10
Control,Midazolam,0.0,53.125,1.7041509326124124e-10
Control,Midazolam,0.0,53.25,1.6364426873583252e-10
Control,Midazolam,0.0,53.375,1.5713133757126323e-10
Control,Midazolam,0.0,53.5,1.5085655929075933e-10
Control,Midazolam,0.0,53.625,1.448001934175467e-10
Control,Midazolam,0.0,53.75,1.3894249947485132e-10
Control,Midazolam,0.0,53.875,1.3326373698589912e-10
Control,Midazolam,0.0,54.0,1.2774416547391603e-10
Control,Midazolam,0.0,54.125,1.2236404446212804e-10
Control,Midazolam,0.0,54.25,1.1734471098320458e-10
Control,Midazolam,0.0,54.375,1.1255470803574578e-10
Control,Midazolam,0.0,54.5,1.0795193976395934e-10
Control,Midazolam,0.0,54.625,1.0353083011104887e-10
Control,Midazolam,0.0,54.75,9.928655880907021e-11
Control,Midazolam,0.0,54.875,9.521506137893167e-11
Control,Midazolam,0.0,55.0,9.131302913039381e-11
Control,Midazolam,0.0,55.125,8.757790916206957e-11
Control,Midazolam,0.0,55.25,8.400790436142421e-11
Control,Midazolam,0.0,55.375,8.060197340477536e-11
Control,Midazolam,0.0,55.5,7.735983075729296e-11
Control,Midazolam,0.0,55.625,7.408991540079625e-11
Control,Midazolam,0.0,55.75,7.092307331673098e-11
Control,Midazolam,0.0,55.875,6.78703218927453e-11
Control,Midazolam,0.0,56.0,6.492927499362138e-11
Control,Midazolam,0.0,56.125,6.209810311455672e-11
Control,Midazolam,0.0,56.25,5.937553338116428e-11
Control,Midazolam,0.0,56.375,5.6760849549472414e-11
Control,Midazolam,0.0,56.5,5.425389200592489e-11
Control,Midazolam,0.0,56.625,5.1855057767380894e-11
Control,Midazolam,0.0,56.75,4.956530048111502e-11
Control,Midazolam,0.0,56.875,4.738613042481727e-11
Control,Midazolam,0.0,57.0,4.531961450659307e-11
Control,Midazolam,0.0,57.125,4.3368376264963244e-11
Control,Midazolam,0.0,57.25,4.153559586886404e-11
Control,Midazolam,0.0,57.375,3.982501011764711e-11
Control,Midazolam,0.0,57.5,3.8138730435642024e-11
Control,Midazolam,0.0,57.625,3.6379956887472084e-11
Control,Midazolam,0.0,57.75,3.46898349387642e-11
Control,Midazolam,0.0,57.875,3.306759166793268e-11
Control,Midazolam,0.0,58.0,3.1512743388137064e-11
Control,Midazolam,0.0,58.125,3.002509564728206e-11
Control,Midazolam,0.0,58.25,2.860474322801761e-11
Control,Midazolam,0.0,58.375,2.725207014773884e-11
Control,Midazolam,0.0,58.5,2.596774965858608e-11
Control,Midazolam,0.0,58.625,2.4752744247444866e-11
Control,Midazolam,0.0,58.75,2.3608305635945936e-11
Control,Midazolam,0.0,58.875,2.2535974780465225e-11
Control,Midazolam,0.0,59.0,2.1537581872123878e-11
Control,Midazolam,0.0,59.125,2.061524633678824e-11
Control,Midazolam,0.0,59.25,1.977137683506985e-11
Control,Midazolam,0.0,59.375,1.9008671262325458e-11
Control,Midazolam,0.0,59.5,1.827646046568424e-11
Control,Midazolam,0.0,59.625,1.7579479465939706e-11
Control,Midazolam,0.0,59.75,1.691367498970465e-11
Control,Midazolam,0.0,59.875,1.626728528319288e-11
Control,Midazolam,0.0,60.0,1.562721724345718e-11
Control,Midazolam,0.0,60.125,1.4991515784952484e-11
Control,Midazolam,0.0,60.25,1.4435475085322532e-11
Control,Midazolam,0.0,60.375,1.3948531679446744e-11
Control,Midazolam,0.0,60.5,1.3461588273570958e-11
Control,Midazolam,0.0,60.625,1.297464486769517e-11
Control,Midazolam,0.0,60.75,1.2487701461819383e-11
Control,Midazolam,0.0,60.875,1.2000758055943597e-11
Control,Midazolam,0.0,61.0,1.1513814650067809e-11
Control,Midazolam,0.0,61.125,1.1026871244192022e-11
Control,Midazolam,0.0,61.25,1.0600761095175e-11
Control,Midazolam,0.0,61.375,1.0195927877112697e-11
Control,Midazolam,0.0,61.5,9.806897232369935e-12
Control,Midazolam,0.0,61.625,9.43366916094671e-12
Control,Midazolam,0.0,61.75,9.076243662843023e-12
Control,Midazolam,0.0,61.875,8.734620738058873e-12
Control,Midazolam,0.0,62.0,8.408800386594262e-12
